title,company,location,salary,job_requirements,job_description
Germany-Principal Scientist Med Chemistry,AP Global Services Pvt. ltd.,Bengaluru,"458,333
						-
						541,667 ",,"Please see the following position summary:


Client: Trusted German Pharma & Biotech Chemistry CRO
Position: Principal Scientist Medicinal & Small Scale Synthetic Chemistry Services
Reporting to: Director Medicinal Chemistry
Job Location: Germany


Company is looking for a highly motivated and research-oriented person with good problem-solving skill to lead and support the medicinal chemistry and small-scale synthesis chemistry services. The ideal candidate is a medicinal chemist with a strong background in synthetic organic chemistry and able to manage the medicinal chemistry and synthetic chemistry team. The individual will be expected to contribute to all stages of drug discovery programs, advancing small molecules from hit identification to IND and same time expected to support the synthetic organic chemistry team as well.


Roles and Responsibilities

Lead and direct the drug designing and synthesis efforts in projects and is accountable for the success of these projects.
Deploy modern methods of medicinal chemistry, parallel chemistry and Analytical methods in discussions with the HOD.
Supervise and direct the efforts of all chemistry staff, acting as a resource and mentor to team membersproviding guidance, instruction, and coaching.
Prioritize the chemistry activities, managing chemistry resources to achieve company goals while ensuring adherence to timelines and budgets.
Lead the design, planning and execution of multi-step syntheses of high-quality small molecules for biological screening.
Perform complex chemical syntheses as needed in support of project goals.
Possess a clear and effective communication style to disseminate project data and medicinal chemistry approach to both internal colleagues and external collaborators.
Build and maintain productive relationships with partners in structural biology, computational chemistry, biochemistry, pharmacology, DMPK, toxicology, and early development.
Lead the preparation of patent documents, peer-reviewed scientific publications and regulatory documents as appropriate.
Build a dynamic scientific and professional culture focused on productivity and innovation that reflects Company's values.
Maintain high standards of laboratory safety, complying with all safety requirements.
Promote a culture of Right First Time and Operational Excellence.
Helping in making the proposal and project writing.



Desired Candidate Profile


Ph.D with a Post Doc (Medicinal / Organic Chemistry) with 12 to 15 years of Industrial experience in drug discovery industry / CRO in synthesis or medicinal chemistry department with good interpersonal and communication skills.
Experience in a drug discovery industry/ CRO in synthesis or medicinal chemistry department.
Excellent knowledge of classical and modern synthetic methods in organic chemistry and the ability to apply this to consistently achieve innovative results.
In-depth skills / understanding of Medicinal Chemistry / Discovery Chemistry.
Ability to work in a high paced team environment, meet deadlines, and priorities work from multiple projects.
Strong interpersonal and communication skills with demonstrated ability to work within a team environment.
Ability to balance multiple priorities and projects at the same time and be able to change priorities as needed by the business.
Travel to global or local locations when required to pursue job accountabilities.
Have strong troubleshooting and networking skills.
Strong computer skills are a must to extract, evaluate data, and make sound technical decisions.
Must be able to coordinate and drive programs at the global level.
Pursue external engagement with customers whenever required.
Be an excellent motivator & team player.
Demonstrate ability to think creatively and strategically.
Have safety / health and environmental awareness.


Perks and Benefits: 72000 Euros including Tax"
Relationship Manager,Mahindra Holidays And Resorts India Limited,Andheri East,"500,000
						-
						720,000 ",Lead Generation,"Candidate should have the experience in field sales  such as B2C , excellent communication skills required "
Presales Executive,Valiant Business Solutions,Andheri East,"300,000
						-
						500,000 ",Lead Generation,"Roles and Responsibilities 
• Research, track, maintain and update leads
• Make outgoing calls to develop new business
• Contact prospects to qualify leads
• Direct email marketing to key clients and prospects
• Research and maintain lead generation database
• Conduct customer research
• Conduct client or market surveys to obtain information about potential leads
• Participate in the preparation of proposals and / or sales presentations
• Provide accurate and timely information to management
• Develop a strong knowledge of the companys products and services in order to facilitate the sales process


Desired Candidate Profile 

 1-2-year(s) experience in Lead Generation (real estate)
 
Excellent English communication (verbal and written)
• Experience with cold calling
• Experience with research and maintaining databases
• Proficient in MS Office including Word, Excel, and Outlook


Perks and Benefits 
Incentives & PF"
React Developer,Optical Arc,Kharadi Bypass,"300,000
						-
						500,000 ",,"Job description
You will be responsible for developing high-quality, maintainable, and scalable applications using React.js and TypeScript. You will collaborate with cross-functional teams to design and develop new features, participate in code reviews, troubleshoot and debug complex issues, 

You are expected to continuously learn and keep up to date with best practices and better technologies.

You will work closely with the UI/UX designer and help bridge the gap between User experience design and technical implementation.     

Responsibilities

Developing new features and changes and improvements in existing features.
Pixel-perfect Design to Code Implementation.
Building responsive and well optimized applications.
Create dynamic and reusable components using State Management and APIs.
Optimize applications for speed, scalability, and a smooth User Experience.
Troubleshooting and debugging issues, and participate in code reviews


Requirements

Understanding of basic design principles
In-depth knowledge and hands on experience with HTML, CSS, JavaScript and ES6 Functions
In-depth knowledge and hands-on experience working with React and React-based frameworks
Strong fundamental understanding of React State and Lifecycle, Hooks, and handling events.
Technical Proficiency with Bootstrap or any other CSS Framework.
Good communication and teamwork skills
Care deeply about product experience and are driven to put great products in the hands of users"
Chemistry Teacher,Edbot Technology Private Limited,Sahakara Nagar Ganesh Temple,"100,000
						-
						200,000 ",Teaching,"Taking classes for JEE Mains, Advanced and NEET aspirants. "
(UK) Band 5 Nurse (Dorset Uni Hospital),Salesman Corporation Private Limited Opc,Lucknow,"203,895
						
						 ",Healthcare,"Employer: University Hospital Dorset
Timeline (Candidate Deployment Date to Destination Country) : As soon as possible
Any other preference: Must have passed OET / IELTS EXAM
Personality Traits/ Specific (If any): caring, empathetic
Accommodation Allowance: 8 weeks of accommodation
Transportation Allowance: No
Working Hours/ Day: typically 12 hours x 3 days a week
Contract Duration (Years): 3 years
Is the contract renewable: Yes
Probation Period (Years): 6 months
Cost Borne by Employer: Yes
Interview Mode: Online 

Candidates must have a minimum of 2 years of acute hospital experience as a Scrub or Ward Nurse , they must have past their IELTS or OET before we interview them, they must have experience working in a 150 + bedded hospital

Candidate needs to do Clinical supervision, administer medications and treatments, operate medical equipment
"
Content Writer & Editor,School Megamart,Avas Vikas Colony,"15,000
						-
						100,000 ",Proofreading and Editing,"School Megamart is aggressively hiring for the job profile of Content Writer & Editor for 10 open positions at Agra in Avas Vikas Colony locality. Kindly go through the FAQs below to get all answers related to the given job.

        "
(UK) Band 5 Nurse (Royal Papworth Hospital),Salesman Corporation Private Limited Opc,Lucknow,"230,105
						
						 ",Healthcare,"Employer: Royal Papworth Hospital
Timeline (Candidate Deployment Date to Destination Country) : As soon as possible
Any other preference: Must have passed OET / IELTS EXAM
Personality Traits/ Specific (If any): caring, empathetic
Accommodation Allowance: 12 months accommodation
Transportation Allowance: No
Working Hours/ Day: typically 12 hours x 3 days a week 
Contract Duration (Years): 3 years
Is the contract renewable: Yes
Probation Period (Years): 6 months
Cost Borne by Employer: Yes
Interview Mode: Online

Candidates must have a minimum of 6 month post graduate nursing experience, they must have past their IELTS or OET before we interview them, they must have experience working in a 150 + bedded hospital

Candidate needs to do Clinical supervision, administer medications and treatments, operate medical equipment
"
Relationship Manager,Td Newton & Associates,Muragachha,"400,000
						-
						760,000 ",Sales prospecting,"Job Purpose

•	To engage regularly with the customers as defined by the contact policy and provide a Consistent & a Superior Digital Experience. Ensuring that customers get world-class services and their needs are understood and met through financial products that the Bank has to offer.
•	To enhance Customer Relationship & while doing so, Educate, Encourage & Induce the customers to use the Digital mediums for their banking transactions/ needs, while keeping a ""window' to talk to the bank whenever customer needs.
•	Responsible for meeting the scorecard targets and portfolio benchmarks set and that all guidelines and regulatory requirements are followed. 
So that the VRM becomes the top of the mind recall amongst the customers in the catchment for all their financial needs and services, thereby ensuring that the VRM also achieves the key performance parameters set

Job Responsibilities(JR) : 6 – 8 Areas 	Actionable (4-6)
Customer Engagement	•	Continuous engagement with the portfolio customers mapped as per the contact policy, with accurate & complete capture of interaction details.
•	Call handling as per defined standards.
•	Accurate resolution for customer queries.
•	Promoting Digital Banking services for a superior customer service experience.
•	Profiling of customers in order to aid right cross-servicing of Bank products
•	Accurate logging and resolution of complaints.
•	Attrition control of customers.
•	Regular interactions with the customers and pro-actively assessing customer needs.
•	Deepening relationship by cross selling 'sticky products' like Demat, Bill Pay, Advisory etc. 
•	Ensure portfolio quality of relationship while racing considering eligibility.
•	Monitor large amount movements and account closure from the deposit accounts.
•	Ensure retention of customers
Achievement of portfolio parameters	•	Meet the defined objectives of the Portfolio managed by the respective VRM
Sales	•	Right cross-sell of products basis profiling and engagement.
•	Penetration of products across groups.
•	Sales across all product segments-TPP, Assets, Cards etc.
•	Acquiring & grouping of all related IDs of the Primary ID.  
•	Use of triggers to track maturity of FDs, movement of CASA balances etc.and prevent outflow.
•	Ensure Staff are trained on  product knowledge and requisite certifications.
•	Income to be generated at a customer level.
Interaction Quality	•	Achieve Quality benchmarks defined from time to time.
•	Complete and accurate capture of call interactions, including profiling thereby aiding relationship management.
Audit and Service Quality	•	Ensure all laid down system and process are followed as stipulated by Audit and Senior Management 
•	Ensure accurate and timely submission of financial transactions.& requests.
•	Adherence to set processes of updating customer interactions in CRM next.
MIS – Reporting	•	Ensure timely submission of Customer base review / reports as requested by Central Team  / Senior Management. 

Educational Qualifications (examples listed below)	Key Skills

Graduate
	• Basic Banking
• Communication

Experience Required 
•	Minimum experience in years – 1-2 yrs. preferable.

"
Telecaller Outbound,Kartzhub Innovations Private Limited,Kondapur,"216,000
						-
						240,000 ",,"Good Communication Skills
Convincing clients
Data Mining
Lead Generation
Should have good experience in MS office "
